provincia_ciudad;area_ciudad;altura_ciudad;habitantes_ciudad;densidad_ciudad;promedio_ciudad;mediana_ciudad;percentil10_ciudad;percentil25_ciudad;percentil75_ciudad;percentil90_ciudad
Cordoba_Cordoba;576;450;1329604;2308;61900;59000;54000;55000;70250;75400
Cordoba_Punilla;2591.91;2592;178401;68.83;64000;60000;50000;55000;70000;85000
Cordoba_Rio Cuarto;64.25;452;157010;2427.8;48000;47000;36000;42000;47000;68000
Cordoba_Rio Tercero;22;389;46800;2127.27;89100;85000;65000;75250;85000;99000
Cordoba_Villa Allende;656.16;510;48762;1855.2;75700;73500;52600;61500;92250;99700
Cordoba_Villa Carlos Paz;26.63;661;30300;2344.09;56300;49500;30000;34750;68750;90000
Cordoba_Villa General Belgrano;656.16;720;8629;1855.2;97400;105000;75000;81750;108750;111000
Cordoba_Villa Maria;656.16;196;79351;1855.2;80000;100000;45000;45000;103000;107000
Capital Federal_Abasto;4.2;18;132863.5;31632.3;81200;80000;62700;67250;92500;97400
Capital Federal_Agronomia;2.13;18;13963;6555;101700;96500;58600;74250;138000;140500
Capital Federal_Almagro;4.06;18;128206;31577.8;121900;116000;95500;102250;143500;158700
Capital Federal_Balvanera;4.34;18;137521;31686.8;83500;87000;62400;68750;96500;105000
Capital Federal_Barracas;7.9;18;73377;9288.2;128200;131000;100600;117250;141750;151800
Capital Federal_Barrio Norte;4.77;18;101467;19711;172100;169000;106700;117000;216250;238100
Capital Federal_Belgrano;8.02;18;126816;15812.4;145300;145500;99500;115500;176000;179700
Capital Federal_Boca;3.38;18;49745;13756;79100;81500;58500;76000;84750;92800
Capital Federal_Boedo;2.61;18;45563;17457;94800;82500;66800;69000;114750;137000
Capital Federal_Caballito;6.8;18;176076;25893.5;176600;160000;104000;128750;233500;253100
Capital Federal_Catalinas;2.21;18;39175;17726;110000;95000;80000;82000;118250;172500
Capital Federal_Centro / Microcentro;2.78;18;39160.67;14652;100100;99500;70600;90250;111500;129100
Capital Federal_Chacarita;3.12;18;25778;8262.1;114800;124000;78500;115750;128750;130500
Capital Federal_Coghlan;1.28;18;18021;14078.9;128300;133500;103500;115500;137750;155400
